# Foreign- and trade-policy documents for Sri Lanka's top 10 export
# destinations, plus Sri Lanka's own export strategy. Loaded into the knowledge
# graph as :PolicyDocument nodes by ceynex.kg.loaders.policy_documents; chunked
# and embedded into Qdrant by the offline pipeline in ../trade-data-pipeline/.
#
# The node is a POINTER, not the text. Neo4j records that a document exists, who
# issued it, and what it applies to, so a Cypher query can decide which chunks
# are eligible before any vector search runs. The text itself lives only in
# Qdrant.
#
# COLUMNS
#   doc_id       stable key, also the Qdrant payload key. Never renumbered.
#   iso3         issuing country/countries, ';'-separated (same convention as
#                trade_agreements.csv's `partners`). One EU-level document
#                legitimately serves DEU, ITA and FRA — it is one row, not three,
#                because three rows would triple-count it in every retrieval.
#   hs_focus     ';'-separated HS prefixes the document is specifically about.
#                EMPTY MEANS GENERAL, not unknown: a national trade strategy
#                applies across chapters, and chunk-level tagging supplies the
#                specificity. Drives the APPLIES_TO edge.
#   agreements   ';'-separated TradeAgreement.name values this document
#                describes. Must match trade_agreements.csv exactly — a typo
#                here silently produces an orphan node instead of a DESCRIBES
#                edge. Drives the DESCRIBES edge.
#   language     ISO 639-1. The retriever's embedding model is English-only, so
#                anything not `en` is fetched and recorded but NOT indexed, and
#                the loader marks the node `indexed=false`. Recording it beats
#                deleting it: the row is the evidence that the source was found
#                and consciously skipped, and it becomes indexable the day the
#                dense model is swapped for a multilingual one.
#   sha256       filled in by `fetch.py --update-manifest`, blank until first
#   retrieved_at fetch. Both are what make the corpus reproducible — an answer
#                citing a document that has since changed is not checkable
#                without them.
#
# VERIFICATION STATUS: every row is `unverified`, same as trade_agreements.csv.
# No figure lifted out of one of these documents goes into a report or an answer
# as fact until a human has read the cited page. The Trade Economics agent
# surfaces the status in its `assumptions` rather than hiding it.
#
# ---------------------------------------------------------------------------
# DROPPED from trade-data-pipeline/sri_lanka_top_export_countries_policy_documents.md,
# with reasons. That file lists 28 links; this manifest has 15 rows. The gap is
# not an oversight and each dropped entry is a known hole to fill, not a
# decision to stop looking:
#
#   * WTO Trade Policy Review (listed for GBR, ARE, CAN, CHN) — all four point
#     at the same generic tpr_e.htm landing page, which resolves to a menu, not
#     to any country's report. The real per-country TPR PDFs each have their own
#     document number; nobody has looked them up yet. THIS IS THE MOST VALUABLE
#     GAP: a TPR is the single most tariff-dense document available for any of
#     these markets, and P08 ("most restrictive import tariffs") is close to
#     unanswerable without them.
#   * India, 2 of 3 entries — the same dgft.gov.in/CP/ URL repeated three times.
#     Kept once.
#   * UK, landing page — gov.uk/government/publications/uk-trade-strategy is the
#     publication record; the /the-uks-trade-strategy HTML rendition below is the
#     document itself and extracts far more cleanly than the PDF attachment.
#   * France, both entries — "International Strategy for a Feminist Foreign
#     Policy" is not a trade-policy document. Indexing it would put gender-policy
#     text into every France retrieval, which is worse than having nothing for
#     France. France is covered by the EU-level row below, as is correct for an
#     EU member state's external trade policy. A France-specific economic
#     diplomacy document is still worth adding.
#   * China, both entries — english.mofcom.gov.cn and fmprc.gov.cn/eng/ are
#     portal homepages. Chunking a navigation menu produces text that matches
#     everything and means nothing. China is Sri Lanka's 9th destination and is
#     currently UNREPRESENTED in this corpus; a real MOFCOM policy release is
#     needed.
#   * Netherlands, 2 of 3 — /topics/international-trade and the ministry index
#     are navigation pages. The 2022 policy document itself is kept.
# ---------------------------------------------------------------------------
doc_id,iso3,title,publisher,url,doc_type,hs_focus,agreements,language,published,retrieved_at,sha256,verified
LKA-EDB-NES-2018,LKA,National Export Strategy of Sri Lanka 2018-2022,Sri Lanka Export Development Board,https://www.srilankabusiness.com/pdf/nes/national-export-strategy-of-sri-lanka.pdf,strategy,0902;0906;4001;1513;61;62,,en,2018,,,unverified
USA-USTR-TARIFF-ACTIONS,USA,Presidential Tariff Actions,Office of the United States Trade Representative,https://www.ustr.gov/trade-topics/presidential-tariff-actions,tariff_action,,,en,2025,,,unverified
IND-DGFT-FTP-2023,IND,Foreign Trade Policy 2023,Directorate General of Foreign Trade,https://www.dgft.gov.in/CP/,policy,,ISFTA;SAFTA;APTA,en,2023,,,unverified
IND-MOC-TRADE-AGREEMENTS,IND,India's Trade Agreements and Market Access,Ministry of Commerce and Industry,https://www.commerce.gov.in/trade-and-commerce/trade-agreements/,policy,,ISFTA;SAFTA;APTA,en,2024,,,unverified
GBR-DBT-TRADE-STRATEGY-2025,GBR,The UK's Trade Strategy,Department for Business and Trade,https://www.gov.uk/government/publications/uk-trade-strategy/the-uks-trade-strategy,strategy,,UK DCTS,en,2025,,,unverified
EU-DGTRADE-POLICY,DEU;ITA;FRA,An Open Sustainable and Assertive Trade Policy,European Commission DG TRADE,https://policy.trade.ec.europa.eu/eu-trade-relationships-country-and-region/trade-policy_en,policy,,GSP+,en,2021,,,unverified
DEU-BMWK-FOREIGN-TRADE,DEU,Foreign Trade and Investment,Federal Ministry for Economic Affairs and Energy,https://www.bundeswirtschaftsministerium.de/Navigation/EN/Foreign-and-Economic-Policy/Foreign-Trade-and-Investment/foreign-trade-and-investment.html,policy,,,en,2024,,,unverified
DEU-AWG-2013,DEU,Aussenwirtschaftsgesetz (Foreign Trade and Payments Act),Bundesministerium der Justiz,https://www.gesetze-im-internet.de/awg_2013/,law,,,de,2013,,,unverified
ITA-MAECI-EXPORT-PLAN,ITA,Italian Export Action Plan,Ministry of Foreign Affairs and International Cooperation,https://www.esteri.it/en/temi/diplomazia_economica/piano-dazione-per-lexport/,strategy,,,en,2024,,,unverified
ITA-MAECI-ECON-DIPLOMACY,ITA,Economic Diplomacy,Ministry of Foreign Affairs and International Cooperation,https://www.esteri.it/en/politica-estera-e-cooperazione-allo-sviluppo/diplomazia-economica/,policy,,,en,2024,,,unverified
NLD-BHOS-POLICY-2022,NLD,Policy Document for Foreign Trade and Development Cooperation: Do What We Do Best,Government of the Netherlands,https://www.government.nl/documents/2022/10/10/policy-document-for-foreign-trade-and-development-cooperation-do-what-we-do-best,policy,,,en,2022,,,unverified
ARE-EXPORT-DEV-POLICY,ARE,UAE Export Development Policy,Government of the United Arab Emirates,https://u.ae/en/about-the-uae/economy/uae-export-development-policy,policy,,,en,2024,,,unverified
ARE-MOFA-PRIORITIES,ARE,Strategic Priorities,UAE Ministry of Foreign Affairs,https://www.mofa.gov.ae/en/about-the-ministry/strategic-priorities,strategy,,,en,2024,,,unverified
CAN-GAC-BRIEFING-2025,CAN,Minister of International Trade Briefing Book March 2025,Global Affairs Canada,https://www.international.gc.ca/transparency-transparence/briefing-documents-information/briefing-books-cahiers-breffage/2025-03-trade-commerce.aspx?lang=eng,report,,,en,2025,,,unverified
CAN-GAC-STATE-OF-TRADE,CAN,State of Canada's Trade,Global Affairs Canada,https://international.canada.ca/en/global-affairs/corporate/reports/state-trade,report,,,en,2024,,,unverified
